"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/08/2000","47","","IS 52","36-005-0110","AQS"
"05/09/2000","51","","IS 52","36-005-0110","AQS"
"05/12/2000","36","","Elizabeth Lab","34-039-0004","AQS"
"05/18/2000","59","","FORT LEE","34-003-0004","AQS"
"05/24/2000","36","","FORT LEE","34-003-0004","AQS"
"05/26/2000","12","","IS 52","36-005-0110","AQS"
"05/27/2000","14","","IS 52","36-005-0110","AQS"
"05/28/2000","9","","IS 52","36-005-0110","AQS"
"05/29/2000","10","","IS 52","36-005-0110","AQS"
"05/30/2000","28","","Elizabeth Lab","34-039-0004","AQS"
"05/31/2000","22","","IS 52","36-005-0110","AQS"
"06/01/2000","48","","IS 52","36-005-0110","AQS"
"06/02/2000","51","","IS 52","36-005-0110","AQS"
"06/03/2000","11","","IS 52","36-005-0110","AQS"
"06/04/2000","11","","IS 52","36-005-0110","AQS"
"06/05/2000","41","","Elizabeth Lab","34-039-0004","AQS"
"06/06/2000","7","","IS 52","36-005-0110","AQS"
"06/07/2000","11","","IS 52","36-005-0110","AQS"
"06/08/2000","35","","IS 52","36-005-0110","AQS"
"06/09/2000","43","","IS 52","36-005-0110","AQS"
"06/10/2000","51","","IS 52","36-005-0110","AQS"
"06/11/2000","55","","FORT LEE","34-003-0004","AQS"
"06/12/2000","17","","IS 52","36-005-0110","AQS"
"06/13/2000","13","","IS 52","36-005-0110","AQS"
"06/14/2000","15","","IS 52","36-005-0110","AQS"
"06/15/2000","26","","IS 52","36-005-0110","AQS"
"06/16/2000","34","","IS 52","36-005-0110","AQS"
"06/17/2000","37","","FORT LEE","34-003-0004","AQS"
"06/18/2000","15","","IS 52","36-005-0110","AQS"
"06/19/2000","13","","IS 52","36-005-0110","AQS"
"06/20/2000","17","","IS 52","36-005-0110","AQS"
"06/21/2000","28","","IS 52","36-005-0110","AQS"
"06/22/2000","24","","IS 52","36-005-0110","AQS"
"06/23/2000","36","","FORT LEE","34-003-0004","AQS"
"06/24/2000","28","","IS 52","36-005-0110","AQS"
"06/25/2000","27","","IS 52","36-005-0110","AQS"
"06/26/2000","36","","IS 52","36-005-0110","AQS"
"06/27/2000","27","","IS 52","36-005-0110","AQS"
"06/28/2000","18","","IS 52","36-005-0110","AQS"
"06/29/2000","44","","FORT LEE","34-003-0004","AQS"
"06/30/2000","15","","IS 52","36-005-0110","AQS"
"07/01/2000","21","","IS 52","36-005-0110","AQS"
"07/02/2000","28","","IS 52","36-005-0110","AQS"
"07/03/2000","44","","IS 52","36-005-0110","AQS"
"07/04/2000","32","","IS 52","36-005-0110","AQS"
"07/05/2000","31","","FORT LEE","34-003-0004","AQS"
"07/06/2000","12","","IS 52","36-005-0110","AQS"
"07/07/2000","11","","IS 52","36-005-0110","AQS"
"07/08/2000","9","","IS 52","36-005-0110","AQS"
"07/09/2000","29","","IS 52","36-005-0110","AQS"
"07/10/2000","29","","IS 52","36-005-0110","AQS"
"07/11/2000","23","","FORT LEE","34-003-0004","AQS"
"07/12/2000","14","","IS 52","36-005-0110","AQS"
"07/13/2000","23","","IS 52","36-005-0110","AQS"
"07/14/2000","19","","IS 52","36-005-0110","AQS"
"07/15/2000","15","","IS 52","36-005-0110","AQS"
"07/16/2000","19","","IS 52","36-005-0110","AQS"
"07/17/2000","35","","FORT LEE","34-003-0004","AQS"
"07/18/2000","32","","IS 52","36-005-0110","AQS"
