"Date","Carbon Monoxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"07/03/1992","26","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/04/1992","22","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/05/1992","44","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/06/1992","41","","Burbank","06-037-1002","AQS"
"07/07/1992","39","","Lynwood","06-037-1301","AQS"
"07/08/1992","42","","Lynwood","06-037-1301","AQS"
"07/09/1992","34","","Burbank","06-037-1002","AQS"
"07/10/1992","15","","Lynwood","06-037-1301","AQS"
"07/11/1992","20","","Lynwood","06-037-1301","AQS"
"07/12/1992","16","","Pomona","06-037-1701","AQS"
"07/13/1992","22","","Pasadena","06-037-2005","AQS"
"07/14/1992","22","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/15/1992","25","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/16/1992","42","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/17/1992","34","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/18/1992","34","","Reseda","06-037-1201","AQS"
"07/19/1992","23","","Reseda","06-037-1201","AQS"
"07/20/1992","30","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/21/1992","18","","Pasadena","06-037-2005","AQS"
"07/22/1992","18","","Pasadena","06-037-2005","AQS"
"07/23/1992","15","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/24/1992","15","","Los Angeles-North Main Street","06-037-1103","AQS"
"07/25/1992","15","","Lynwood","06-037-1301","AQS"
"07/26/1992","16","","Pasadena","06-037-2005","AQS"
"07/27/1992","24","","Pasadena","06-037-2005","AQS"
"07/28/1992","30","","Burbank","06-037-1002","AQS"
"07/29/1992","24","","Burbank","06-037-1002","AQS"
"07/30/1992","31","","Reseda","06-037-1201","AQS"
"07/31/1992","41","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/01/1992","38","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/02/1992","24","","Burbank","06-037-1002","AQS"
"08/03/1992","24","","Burbank","06-037-1002","AQS"
"08/04/1992","23","","Pasadena","06-037-2005","AQS"
"08/05/1992","30","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/06/1992","23","","Burbank","06-037-1002","AQS"
"08/07/1992","23","","Pasadena","06-037-2005","AQS"
"08/08/1992","18","","Burbank","06-037-1002","AQS"
"08/09/1992","27","","Reseda","06-037-1201","AQS"
"08/10/1992","35","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/11/1992","24","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/12/1992","45","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/13/1992","47","","Los Angeles-North Main Street","06-037-1103","AQS"
"08/14/1992","35","","Burbank","06-037-1002","AQS"
"08/15/1992","34","","Reseda","06-037-1201","AQS"
"08/16/1992","34","","Reseda","06-037-1201","AQS"
"08/17/1992","47","","Los Angeles-North Main Street","06-037-1103","AQS"
