"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/08/2006","67","","Union City","34-017-2002","AQS"
"01/09/2006","74","","FORT LEE","34-003-0004","AQS"
"01/10/2006","65","","FORT LEE","34-003-0004","AQS"
"01/11/2006","141","","Elizabeth Lab","34-039-0004","AQS"
"01/12/2006","58","","FORT LEE","34-003-0004","AQS"
"01/13/2006","114","","FORT LEE","34-003-0004","AQS"
"01/14/2006","48","","JHS 126","36-047-0122","AQS"
"01/15/2006","17","","IS 52","36-005-0110","AQS"
"01/16/2006","31","","FORT LEE","34-003-0004","AQS"
"01/17/2006","67","","Elizabeth Lab","34-039-0004","AQS"
"01/18/2006","38","","FORT LEE","34-003-0004","AQS"
"01/19/2006","55","","QUEENS COLLEGE 2","36-081-0124","AQS"
"01/20/2006","62","","Paterson","34-031-0005","AQS"
"01/21/2006","56","","Jersey City Firehouse","34-017-1003","AQS"
"01/22/2006","31","","Rahway","34-039-2003","AQS"
"01/23/2006","60","","PS 19","36-061-0128","AQS"
"01/24/2006","68","","FORT LEE","34-003-0004","AQS"
"01/25/2006","48","","FORT LEE","34-003-0004","AQS"
"01/26/2006","43","","Rahway","34-039-2003","AQS"
"01/27/2006","55","","Elizabeth Lab","34-039-0004","AQS"
"01/28/2006","81","","Elizabeth Lab","34-039-0004","AQS"
"01/29/2006","94","","Elizabeth Lab","34-039-0004","AQS"
"01/30/2006","105","","Elizabeth Lab","34-039-0004","AQS"
"01/31/2006","46","","Elizabeth Lab","34-039-0004","AQS"
"02/01/2006","51","","Elizabeth Lab","34-039-0004","AQS"
"02/02/2006","95","","Elizabeth Lab","34-039-0004","AQS"
"02/03/2006","68","","FORT LEE","34-003-0004","AQS"
"02/04/2006","93","","IS 52","36-005-0110","AQS"
"02/05/2006","37","","Elizabeth Lab","34-039-0004","AQS"
"02/06/2006","48","","Elizabeth Lab","34-039-0004","AQS"
"02/07/2006","46","","PS 59","36-061-0056","AQS"
"02/08/2006","45","","Rahway","34-039-2003","AQS"
"02/09/2006","35","","Rahway","34-039-2003","AQS"
"02/10/2006","66","","Union City","34-017-2002","AQS"
"02/11/2006","87","","Elizabeth Lab","34-039-0004","AQS"
"02/12/2006","37","","IS 52","36-005-0110","AQS"
"02/13/2006","67","","PS 59","36-061-0056","AQS"
"02/14/2006","80","","Elizabeth Lab","34-039-0004","AQS"
"02/15/2006","112","","Elizabeth Lab","34-039-0004","AQS"
"02/16/2006","151","","Elizabeth Lab","34-039-0004","AQS"
"02/17/2006","45","","Elizabeth Lab","34-039-0004","AQS"
"02/18/2006","26","","Rahway","34-039-2003","AQS"
"02/19/2006","62","","MORRISANIA","36-005-0080","AQS"
"02/20/2006","66","","Elizabeth Lab","34-039-0004","AQS"
"02/21/2006","82","","Elizabeth Lab","34-039-0004","AQS"
"02/22/2006","96","","Elizabeth Lab","34-039-0004","AQS"
"02/23/2006","94","","Elizabeth Lab","34-039-0004","AQS"
"02/24/2006","41","","Elizabeth Lab","34-039-0004","AQS"
"02/25/2006","46","","MORRISANIA","36-005-0080","AQS"
"02/26/2006","18","","Elizabeth Lab","34-039-0004","AQS"
"02/27/2006","28","","FORT LEE","34-003-0004","AQS"
"02/28/2006","53","","CANAL STREET","36-061-0062","AQS"
"03/01/2006","51","","Elizabeth Lab","34-039-0004","AQS"
"03/02/2006","89","","Elizabeth Lab","34-039-0004","AQS"
"03/03/2006","38","","Elizabeth Lab","34-039-0004","AQS"
"03/04/2006","34","","Elizabeth Lab","34-039-0004","AQS"
"03/05/2006","29","","Elizabeth Lab","34-039-0004","AQS"
"03/06/2006","52","","FORT LEE","34-003-0004","AQS"
"03/07/2006","40","","FORT LEE","34-003-0004","AQS"
"03/08/2006","62","","FORT LEE","34-003-0004","AQS"
"03/09/2006","84","","Elizabeth Lab","34-039-0004","AQS"
"03/10/2006","72","","Elizabeth Lab","34-039-0004","AQS"
"03/11/2006","48","","Elizabeth Lab","34-039-0004","AQS"
"03/12/2006","85","","IS 52","36-005-0110","AQS"
"03/13/2006","116","","FORT LEE","34-003-0004","AQS"
"03/14/2006","71","","FORT LEE","34-003-0004","AQS"
"03/15/2006","37","","PS 59","36-061-0056","AQS"
"03/16/2006","33","","FORT LEE","34-003-0004","AQS"
"03/17/2006","27","","FORT LEE","34-003-0004","AQS"
"03/18/2006","32","","PS 59","36-061-0056","AQS"
"03/19/2006","28","","Rahway","34-039-2003","AQS"
"03/20/2006","28","","FORT LEE","34-003-0004","AQS"
"03/21/2006","40","","CANAL STREET","36-061-0062","AQS"
"03/22/2006","33","","FORT LEE","34-003-0004","AQS"
"03/23/2006","31","","FORT LEE","34-003-0004","AQS"
"03/24/2006","62","","Elizabeth Lab","34-039-0004","AQS"
"03/25/2006","51","","Elizabeth Lab","34-039-0004","AQS"
"03/26/2006","31","","Elizabeth Lab","34-039-0004","AQS"
"03/27/2006","32","","FORT LEE","34-003-0004","AQS"
"03/28/2006","62","","FORT LEE","34-003-0004","AQS"
"03/29/2006","78","","FORT LEE","34-003-0004","AQS"
"03/30/2006","99","","Elizabeth Lab","34-039-0004","AQS"
"03/31/2006","97","","Elizabeth Lab","34-039-0004","AQS"
"04/01/2006","77","","FORT LEE","34-003-0004","AQS"
"04/02/2006","33","","FORT LEE","34-003-0004","AQS"
"04/03/2006","70","","FORT LEE","34-003-0004","AQS"
"04/04/2006","32","","FORT LEE","34-003-0004","AQS"
"04/05/2006","44","","PS 59","36-061-0056","AQS"
"04/06/2006","46","","FORT LEE","34-003-0004","AQS"
"04/07/2006","79","","FORT LEE","34-003-0004","AQS"
"04/08/2006","53","","Elizabeth Lab","34-039-0004","AQS"
"04/09/2006","28","","QUEENS COLLEGE 2","36-081-0124","AQS"
"04/10/2006","49","","FORT LEE","34-003-0004","AQS"
"04/11/2006","80","","FORT LEE","34-003-0004","AQS"
"04/12/2006","66","","FORT LEE","34-003-0004","AQS"
"04/13/2006","40","","FORT LEE","34-003-0004","AQS"
"04/14/2006","93","","CANAL STREET","36-061-0062","AQS"
"04/15/2006","77","","FORT LEE","34-003-0004","AQS"
"04/16/2006","18","","IS 52","36-005-0110","AQS"
"04/17/2006","45","","Elizabeth Lab","34-039-0004","AQS"
"04/18/2006","31","","FORT LEE","34-003-0004","AQS"
"04/19/2006","44","","FORT LEE","34-003-0004","AQS"
"04/20/2006","57","","FORT LEE","34-003-0004","AQS"
"04/21/2006","54","","FORT LEE","34-003-0004","AQS"
"04/22/2006","35","","Elizabeth Lab","34-039-0004","AQS"
"04/23/2006","51","","Elizabeth Lab","34-039-0004","AQS"
"04/24/2006","70","","FORT LEE","34-003-0004","AQS"
"04/25/2006","60","","FORT LEE","34-003-0004","AQS"
