"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"10/02/2002","55","","Los Angeles-North Main Street","06-037-1103","AQS"
"10/03/2002","58","","Los Angeles-North Main Street","06-037-1103","AQS"
"10/04/2002","62","","Azusa","06-037-0002","AQS"
"10/05/2002","64","","Lynwood","06-037-1301","AQS"
"10/06/2002","62","","Anaheim","06-059-0007","AQS"
"10/07/2002","69","","Los Angeles-North Main Street","06-037-1103","AQS"
"10/08/2002","108","","Los Angeles-North Main Street","06-037-1103","AQS"
"10/09/2002","153","","Los Angeles-North Main Street","06-037-1103","AQS"
"10/10/2002","152","","Azusa","06-037-0002","AQS"
"10/11/2002","103","","Azusa","06-037-0002","AQS"
"10/12/2002","85","","Azusa","06-037-0002","AQS"
"10/13/2002","107","","Los Angeles-North Main Street","06-037-1103","AQS"
"10/14/2002","152","","","06-037-1601","AQS"
"10/15/2002","160","","Azusa","06-037-0002","AQS"
"10/16/2002","113","","Azusa","06-037-0002","AQS"
"10/17/2002","76","","Lancaster-Division Street","06-037-9033","AQS"
"10/18/2002","83","","Azusa","06-037-0002","AQS"
"10/19/2002","97","","Azusa","06-037-0002","AQS"
"10/20/2002","131","","Mission Viejo","06-059-2022","AQS"
"10/21/2002","129","","Azusa","06-037-0002","AQS"
"10/22/2002","91","","Azusa","06-037-0002","AQS"
"10/23/2002","84","","Burbank","06-037-1002","AQS"
"10/24/2002","104","","Azusa","06-037-0002","AQS"
"10/25/2002","102","","Azusa","06-037-0002","AQS"
"10/26/2002","83","","Lynwood","06-037-1301","AQS"
"10/27/2002","71","","Los Angeles-North Main Street","06-037-1103","AQS"
"10/28/2002","93","","Los Angeles-North Main Street","06-037-1103","AQS"
"10/29/2002","93","","Burbank","06-037-1002","AQS"
"10/30/2002","76","","Los Angeles-North Main Street","06-037-1103","AQS"
"10/31/2002","102","","Azusa","06-037-0002","AQS"
"11/01/2002","118","","Azusa","06-037-0002","AQS"
"11/02/2002","136","","Anaheim","06-059-0007","AQS"
"11/03/2002","108","","Anaheim","06-059-0007","AQS"
"11/04/2002","109","","Lynwood","06-037-1301","AQS"
"11/05/2002","153","","Los Angeles-North Main Street","06-037-1103","AQS"
"11/06/2002","156","","Anaheim","06-059-0007","AQS"
"11/07/2002","112","","","06-037-1601","AQS"
"11/08/2002","27","","Los Angeles-North Main Street","06-037-1103","AQS"
"11/09/2002","20","","Long Beach (North)","06-037-4002","AQS"
"11/10/2002","43","","Pasadena","06-037-2005","AQS"
"11/11/2002","56","","Long Beach (North)","06-037-4002","AQS"
"11/12/2002","45","","Long Beach (North)","06-037-4002","AQS"
"11/13/2002","77","","","06-037-1601","AQS"
"11/14/2002","125","","Los Angeles-North Main Street","06-037-1103","AQS"
"11/15/2002","63","","Los Angeles-North Main Street","06-037-1103","AQS"
"11/16/2002","58","","Lynwood","06-037-1301","AQS"
"11/17/2002","79","","Los Angeles-North Main Street","06-037-1103","AQS"
"11/18/2002","71","","Long Beach (North)","06-037-4002","AQS"
"11/19/2002","72","","","06-037-1601","AQS"
"11/20/2002","64","","Long Beach (North)","06-037-4002","AQS"
"11/21/2002","56","","Long Beach (North)","06-037-4002","AQS"
"11/22/2002","103","","Lynwood","06-037-1301","AQS"
"11/23/2002","99","","Los Angeles-North Main Street","06-037-1103","AQS"
"11/24/2002","132","","Los Angeles-North Main Street","06-037-1103","AQS"
"11/25/2002","102","","Los Angeles-North Main Street","06-037-1103","AQS"
"11/26/2002","54","","Long Beach (North)","06-037-4002","AQS"
"11/27/2002","66","","Long Beach (North)","06-037-4002","AQS"
"11/28/2002","67","","Lynwood","06-037-1301","AQS"
"11/29/2002","35","","Long Beach (North)","06-037-4002","AQS"
"11/30/2002","58","","Long Beach (North)","06-037-4002","AQS"
"12/01/2002","72","","Burbank","06-037-1002","AQS"
"12/02/2002","69","","Anaheim","06-059-0007","AQS"
"12/03/2002","82","","Los Angeles-North Main Street","06-037-1103","AQS"
"12/04/2002","150","","Anaheim","06-059-0007","AQS"
"12/05/2002","125","","Anaheim","06-059-0007","AQS"
"12/06/2002","98","","Long Beach (North)","06-037-4002","AQS"
"12/07/2002","124","","Azusa","06-037-0002","AQS"
"12/08/2002","144","","Anaheim","06-059-0007","AQS"
"12/09/2002","125","","Anaheim","06-059-0007","AQS"
"12/10/2002","114","","","06-037-1601","AQS"
"12/11/2002","90","","Long Beach (North)","06-037-4002","AQS"
"12/12/2002","104","","Long Beach (North)","06-037-4002","AQS"
"12/13/2002","136","","Lynwood","06-037-1301","AQS"
"12/14/2002","137","","Anaheim","06-059-0007","AQS"
"12/15/2002","85","","Azusa","06-037-0002","AQS"
"12/16/2002","62","","Los Angeles-North Main Street","06-037-1103","AQS"
"12/17/2002","24","","Anaheim","06-059-0007","AQS"
"12/18/2002","49","","Anaheim","06-059-0007","AQS"
"12/19/2002","68","","Burbank","06-037-1002","AQS"
"12/20/2002","29","","Long Beach (North)","06-037-4002","AQS"
"12/21/2002","52","","Long Beach (North)","06-037-4002","AQS"
"12/22/2002","64","","","06-037-1601","AQS"
"12/23/2002","70","","Long Beach (North)","06-037-4002","AQS"
"12/24/2002","94","","Long Beach (North)","06-037-4002","AQS"
"12/25/2002","150","","Long Beach (North)","06-037-4002","AQS"
"12/26/2002","135","","Long Beach (North)","06-037-4002","AQS"
"12/27/2002","91","","Long Beach (North)","06-037-4002","AQS"
"12/28/2002","71","","Burbank","06-037-1002","AQS"
"12/29/2002","38","","Anaheim","06-059-0007","AQS"
"12/30/2002","58","","Long Beach (North)","06-037-4002","AQS"
"12/31/2002","79","","Lynwood","06-037-1301","AQS"
"01/01/2003","122","","Long Beach (North)","06-037-4002","AQS"
"01/02/2003","53","","Long Beach (North)","06-037-4002","AQS"
"01/03/2003","62","","","06-037-1601","AQS"
"01/04/2003","61","","Long Beach (North)","06-037-4002","AQS"
"01/05/2003","94","","Long Beach (North)","06-037-4002","AQS"
"01/06/2003","53","","Lynwood","06-037-1301","AQS"
"01/07/2003","36","","Long Beach (North)","06-037-4002","AQS"
"01/08/2003","60","","Anaheim","06-059-0007","AQS"
"01/09/2003","66","","Reseda","06-037-1201","AQS"
"01/10/2003","83","","Azusa","06-037-0002","AQS"
"01/11/2003","92","","Anaheim","06-059-0007","AQS"
"01/12/2003","116","","Anaheim","06-059-0007","AQS"
"01/13/2003","129","","Anaheim","06-059-0007","AQS"
